id,Longitude,Latitude,Vs30,DepthToRock,Model,Su_rat,Den,h/G,m,h0,chi
0,-122.3283,37.784,225.6,22.14896,EI,0.26,2,1,1,0.2,0
1,-122.3283,37.7885,225.6,26.1588,EI,0.26,2,1,1,0.2,0
2,-122.3283,37.793,225.6,21.88584,EI,0.26,2,1,1,0.2,0
3,-122.3226,37.784,225.6,20.26112,EI,0.26,2,1,1,0.2,0
4,-122.3226,37.7885,225.6,23.1606,EI,0.26,2,1,1,0.2,0
5,-122.3226,37.793,225.6,22.65648,EI,0.26,2,1,1,0.2,0
6,-122.3169,37.7795,225.6,8.97543,EI,0.26,2,1,1,0.2,0
7,-122.3169,37.784,225.6,25.55102,EI,0.26,2,1,1,0.2,0
8,-122.3169,37.7885,225.6,24.98569,EI,0.26,2,1,1,0.2,0
9,-122.3169,37.793,225.6,19.381,EI,0.26,2,1,1,0.2,0
10,-122.3112,37.7795,225.6,25.47864,EI,0.26,2,1,1,0.2,0
11,-122.3112,37.784,225.6,36.86096,EI,0.26,2,1,1,0.2,0
12,-122.3112,37.7885,225.6,30.85612,EI,0.26,2,1,1,0.2,0
13,-122.3055,37.784,225.6,33.6089,EI,0.26,2,1,1,0.2,0
14,-122.3055,37.7885,225.6,26.28385,EI,0.26,2,1,1,0.2,0
15,-122.2998,37.775,225.6,28.8614,EI,0.26,2,1,1,0.2,0
16,-122.2998,37.784,225.6,26.751,EI,0.26,2,1,1,0.2,0
17,-122.2998,37.7885,225.6,19.2213,EI,0.26,2,1,1,0.2,0
18,-122.2941,37.775,225.6,29.1863,EI,0.26,2,1,1,0.2,0
19,-122.2941,37.7795,307.6,28.8578,EI,0.26,2,1,1,0.2,0
20,-122.2941,37.784,225.6,27.5205,EI,0.26,2,1,1,0.2,0
21,-122.2941,37.7885,225.6,20.25585,EI,0.26,2,1,1,0.2,0
22,-122.2885,37.7705,225.6,2.717,EI,0.26,2,1,1,0.2,0
23,-122.2885,37.775,307.6,27.17,EI,0.26,2,1,1,0.2,0
24,-122.2885,37.7795,307.6,24.2531,EI,0.26,2,1,1,0.2,0
25,-122.2885,37.784,225.6,27.1818,EI,0.26,2,1,1,0.2,0
26,-122.2885,37.7885,225.6,20.6121,EI,0.26,2,1,1,0.2,0
27,-122.2828,37.7705,233.8927728,1.862,EI,0.26,2,1,1,0.2,0
28,-122.2828,37.775,307.6,18.62,EI,0.26,2,1,1,0.2,0
29,-122.2828,37.7795,307.6,17.78588,EI,0.26,2,1,1,0.2,0
30,-122.2828,37.784,225.6,23.79144,EI,0.26,2,1,1,0.2,0
31,-122.2828,37.7885,225.6,19.13808,EI,0.26,2,1,1,0.2,0
32,-122.2771,37.7705,225.6,4.56298,EI,0.26,2,1,1,0.2,0
33,-122.2771,37.775,307.6,14.3881,EI,0.26,2,1,1,0.2,0
34,-122.2771,37.7795,225.6,14.31088,EI,0.26,2,1,1,0.2,0
35,-122.2771,37.784,225.6,20.50374,EI,0.26,2,1,1,0.2,0
36,-122.2771,37.7885,225.6,14.57817,EI,0.26,2,1,1,0.2,0
37,-122.2714,37.766,225.6,12.47516,EI,0.26,2,1,1,0.2,0
38,-122.2714,37.7705,307.6,10.69732,EI,0.26,2,1,1,0.2,0
39,-122.2714,37.775,307.6,14.3254,EI,0.26,2,1,1,0.2,0
40,-122.2714,37.7795,225.6,13.72492,EI,0.26,2,1,1,0.2,0
41,-122.2714,37.784,225.6,17.31516,EI,0.26,2,1,1,0.2,0
42,-122.2657,37.7615,225.6,8.04177,EI,0.26,2,1,1,0.2,0
43,-122.2657,37.766,225.6,13.36564,EI,0.26,2,1,1,0.2,0
44,-122.2657,37.7705,307.6,12.15541,EI,0.26,2,1,1,0.2,0
45,-122.2657,37.775,307.6,13.7467,EI,0.26,2,1,1,0.2,0
46,-122.2657,37.7795,225.6,14.79403,EI,0.26,2,1,1,0.2,0
47,-122.26,37.7615,225.6,12.681,EI,0.26,2,1,1,0.2,0
48,-122.26,37.766,307.6,11.854,EI,0.26,2,1,1,0.2,0
49,-122.26,37.7705,307.6,12.091,EI,0.26,2,1,1,0.2,0
50,-122.26,37.775,307.6,13,EI,0.26,2,1,1,0.2,0
51,-122.26,37.7795,256.3435172,16.402,EI,0.26,2,1,1,0.2,0
52,-122.2543,37.757,225.6,10.50048,EI,0.26,2,1,1,0.2,0
53,-122.2543,37.7615,225.6,12.79044,EI,0.26,2,1,1,0.2,0
54,-122.2543,37.766,307.6,11.8768,EI,0.26,2,1,1,0.2,0
55,-122.2543,37.7705,307.6,13.00813,EI,0.26,2,1,1,0.2,0
56,-122.2543,37.775,307.6,19.9141,EI,0.26,2,1,1,0.2,0
57,-122.2486,37.757,225.6,14.41596,EI,0.26,2,1,1,0.2,0
58,-122.2486,37.7615,307.6,13.27536,EI,0.26,2,1,1,0.2,0
59,-122.2486,37.766,307.6,13.12684,EI,0.26,2,1,1,0.2,0
60,-122.2486,37.7705,307.6,14.79522,EI,0.26,2,1,1,0.2,0
61,-122.2486,37.775,307.6,24.654,EI,0.26,2,1,1,0.2,0
62,-122.2429,37.7525,225.6,7.24725,EI,0.26,2,1,1,0.2,0
63,-122.2429,37.757,307.6,14.13894,EI,0.26,2,1,1,0.2,0
64,-122.2429,37.7615,307.6,14.91354,EI,0.26,2,1,1,0.2,0
65,-122.2429,37.766,307.6,18.14626,EI,0.26,2,1,1,0.2,0
66,-122.2429,37.7705,307.6,19.25433,EI,0.26,2,1,1,0.2,0
67,-122.2372,37.7525,225.6,5.1084,EI,0.26,2,1,1,0.2,0
68,-122.2372,37.757,307.6,12.21776,EI,0.26,2,1,1,0.2,0
69,-122.2372,37.7615,307.6,16.90004,EI,0.26,2,1,1,0.2,0
70,-122.2372,37.766,307.6,21.022,EI,0.26,2,1,1,0.2,0
71,-122.2372,37.7705,307.6,22.01916,EI,0.26,2,1,1,0.2,0
72,-122.2315,37.7525,225.6,1.06425,EI,0.26,2,1,1,0.2,0
73,-122.2315,37.757,307.6,8.5937,EI,0.26,2,1,1,0.2,0
74,-122.2315,37.7615,307.6,19.2473,EI,0.26,2,1,1,0.2,0
75,-122.2315,37.766,307.6,21.6775,EI,0.26,2,1,1,0.2,0
76,-122.2258,37.757,225.6,4.4312,EI,0.26,2,1,1,0.2,0
77,-122.2258,37.7615,225.6,15.11018,EI,0.26,2,1,1,0.2,0
78,-122.3283,37.784,225.6,22.14896,EI,0.26,2,1,1,0.2,0
79,-122.3283,37.7885,225.6,26.1588,EI,0.26,2,1,1,0.2,0
80,-122.3283,37.793,225.6,21.88584,EI,0.26,2,1,1,0.2,0
81,-122.3226,37.784,225.6,20.26112,EI,0.26,2,1,1,0.2,0
82,-122.3226,37.7885,225.6,23.1606,EI,0.26,2,1,1,0.2,0
83,-122.3226,37.793,225.6,22.65648,EI,0.26,2,1,1,0.2,0
84,-122.3169,37.7795,225.6,8.97543,EI,0.26,2,1,1,0.2,0
85,-122.3169,37.784,225.6,25.55102,EI,0.26,2,1,1,0.2,0
86,-122.3169,37.7885,225.6,24.98569,EI,0.26,2,1,1,0.2,0
87,-122.3169,37.793,225.6,19.381,EI,0.26,2,1,1,0.2,0
88,-122.3112,37.7795,225.6,25.47864,EI,0.26,2,1,1,0.2,0
89,-122.3112,37.784,225.6,36.86096,EI,0.26,2,1,1,0.2,0
90,-122.3112,37.7885,225.6,30.85612,EI,0.26,2,1,1,0.2,0
91,-122.3055,37.784,225.6,33.6089,EI,0.26,2,1,1,0.2,0
92,-122.3055,37.7885,225.6,26.28385,EI,0.26,2,1,1,0.2,0
93,-122.2998,37.775,225.6,28.8614,EI,0.26,2,1,1,0.2,0
94,-122.2998,37.784,225.6,26.751,EI,0.26,2,1,1,0.2,0
95,-122.2998,37.7885,225.6,19.2213,EI,0.26,2,1,1,0.2,0
96,-122.2941,37.775,225.6,29.1863,EI,0.26,2,1,1,0.2,0
97,-122.2941,37.7795,307.6,28.8578,EI,0.26,2,1,1,0.2,0
98,-122.2941,37.784,225.6,27.5205,EI,0.26,2,1,1,0.2,0
99,-122.2941,37.7885,225.6,20.25585,EI,0.26,2,1,1,0.2,0
100,-122.2885,37.7705,225.6,2.717,EI,0.26,2,1,1,0.2,0
101,-122.2885,37.775,307.6,27.17,EI,0.26,2,1,1,0.2,0
102,-122.2885,37.7795,307.6,24.2531,EI,0.26,2,1,1,0.2,0
103,-122.2885,37.784,225.6,27.1818,EI,0.26,2,1,1,0.2,0
104,-122.2885,37.7885,225.6,20.6121,EI,0.26,2,1,1,0.2,0
105,-122.2828,37.7705,233.8927728,1.862,EI,0.26,2,1,1,0.2,0
106,-122.2828,37.775,307.6,18.62,EI,0.26,2,1,1,0.2,0
107,-122.2828,37.7795,307.6,17.78588,EI,0.26,2,1,1,0.2,0
108,-122.2828,37.784,225.6,23.79144,EI,0.26,2,1,1,0.2,0
109,-122.2828,37.7885,225.6,19.13808,EI,0.26,2,1,1,0.2,0
110,-122.2771,37.7705,225.6,4.56298,EI,0.26,2,1,1,0.2,0
111,-122.2771,37.775,307.6,14.3881,EI,0.26,2,1,1,0.2,0
112,-122.2771,37.7795,225.6,14.31088,EI,0.26,2,1,1,0.2,0
113,-122.2771,37.784,225.6,20.50374,EI,0.26,2,1,1,0.2,0
114,-122.2771,37.7885,225.6,14.57817,EI,0.26,2,1,1,0.2,0
115,-122.2714,37.766,225.6,12.47516,EI,0.26,2,1,1,0.2,0
116,-122.2714,37.7705,307.6,10.69732,EI,0.26,2,1,1,0.2,0
117,-122.2714,37.775,307.6,14.3254,EI,0.26,2,1,1,0.2,0
118,-122.2714,37.7795,225.6,13.72492,EI,0.26,2,1,1,0.2,0
119,-122.2714,37.784,225.6,17.31516,EI,0.26,2,1,1,0.2,0
120,-122.2657,37.7615,225.6,8.04177,EI,0.26,2,1,1,0.2,0
121,-122.2657,37.766,225.6,13.36564,EI,0.26,2,1,1,0.2,0
122,-122.2657,37.7705,307.6,12.15541,EI,0.26,2,1,1,0.2,0
123,-122.2657,37.775,307.6,13.7467,EI,0.26,2,1,1,0.2,0
124,-122.2657,37.7795,225.6,14.79403,EI,0.26,2,1,1,0.2,0
125,-122.26,37.7615,225.6,12.681,EI,0.26,2,1,1,0.2,0
126,-122.26,37.766,307.6,11.854,EI,0.26,2,1,1,0.2,0
127,-122.26,37.7705,307.6,12.091,EI,0.26,2,1,1,0.2,0
128,-122.26,37.775,307.6,13,EI,0.26,2,1,1,0.2,0
129,-122.26,37.7795,256.3435172,16.402,EI,0.26,2,1,1,0.2,0
130,-122.2543,37.757,225.6,10.50048,EI,0.26,2,1,1,0.2,0
131,-122.2543,37.7615,225.6,12.79044,EI,0.26,2,1,1,0.2,0
132,-122.2543,37.766,307.6,11.8768,EI,0.26,2,1,1,0.2,0
133,-122.2543,37.7705,307.6,13.00813,EI,0.26,2,1,1,0.2,0
134,-122.2543,37.775,307.6,19.9141,EI,0.26,2,1,1,0.2,0
135,-122.2486,37.757,225.6,14.41596,EI,0.26,2,1,1,0.2,0
136,-122.2486,37.7615,307.6,13.27536,EI,0.26,2,1,1,0.2,0
137,-122.2486,37.766,307.6,13.12684,EI,0.26,2,1,1,0.2,0
138,-122.2486,37.7705,307.6,14.79522,EI,0.26,2,1,1,0.2,0
139,-122.2486,37.775,307.6,24.654,EI,0.26,2,1,1,0.2,0
140,-122.2429,37.7525,225.6,7.24725,EI,0.26,2,1,1,0.2,0
141,-122.2429,37.757,307.6,14.13894,EI,0.26,2,1,1,0.2,0
142,-122.2429,37.7615,307.6,14.91354,EI,0.26,2,1,1,0.2,0
143,-122.2429,37.766,307.6,18.14626,EI,0.26,2,1,1,0.2,0
144,-122.2429,37.7705,307.6,19.25433,EI,0.26,2,1,1,0.2,0
145,-122.2372,37.7525,225.6,5.1084,EI,0.26,2,1,1,0.2,0
146,-122.2372,37.757,307.6,12.21776,EI,0.26,2,1,1,0.2,0
147,-122.2372,37.7615,307.6,16.90004,EI,0.26,2,1,1,0.2,0
148,-122.2372,37.766,307.6,21.022,EI,0.26,2,1,1,0.2,0
149,-122.2372,37.7705,307.6,22.01916,EI,0.26,2,1,1,0.2,0
150,-122.2315,37.7525,225.6,1.06425,EI,0.26,2,1,1,0.2,0
151,-122.2315,37.757,307.6,8.5937,EI,0.26,2,1,1,0.2,0
152,-122.2315,37.7615,307.6,19.2473,EI,0.26,2,1,1,0.2,0
153,-122.2315,37.766,307.6,21.6775,EI,0.26,2,1,1,0.2,0
154,-122.2258,37.757,225.6,4.4312,EI,0.26,2,1,1,0.2,0
155,-122.2258,37.7615,225.6,15.11018,EI,0.26,2,1,1,0.2,0
156,-122.236,37.7507,225.6,1.19196,EI,0.26,2,1,1,0.2,0
157,-122.2779,37.7851,225.6,22.392198,EI,0.26,2,1,1,0.2,0
158,-122.2871,37.7852,225.6,26.932032,EI,0.26,2,1,1,0.2,0
159,-122.2873,37.7881,225.6,21.116548,EI,0.26,2,1,1,0.2,0
160,-122.2781,37.7894,225.6,14.146068,EI,0.26,2,1,1,0.2,0
161,-122.2777,37.787,225.6,18.40818,EI,0.26,2,1,1,0.2,0
162,-122.3126,37.7833,225.6,32.284556,EI,0.26,2,1,1,0.2,0
163,-122.3125,37.7825,225.6,30.47375,EI,0.26,2,1,1,0.2,0
164,-122.3124,37.7838,225.6,33.978384,EI,0.26,2,1,1,0.2,0
165,-122.324,37.7818,225.6,9.32616,EI,0.26,2,1,1,0.2,0
166,-122.3246,37.7895,225.6,23.6578,EI,0.26,2,1,1,0.2,0
167,-122.3254,37.7956,225.6,20.000488,EI,0.26,2,1,1,0.2,0
168,-122.2358,37.7593,307.6,14.889696,EI,0.26,2,1,1,0.2,0
169,-122.2373,37.7665,307.6,21.1105,EI,0.26,2,1,1,0.2,0
170,-122.2886,37.7747,307.6,25.6808,EI,0.26,2,1,1,0.2,0
171,-122.2649,37.7733,307.6,13.076922,EI,0.26,2,1,1,0.2,0
172,-122.2944,37.7724,225.6,14.001216,EI,0.26,2,1,1,0.2,0
173,-122.2706,37.7683,225.6,12.264932,EI,0.26,2,1,1,0.2,0
174,-122.2577,37.7607,225.6,12.935208,EI,0.26,2,1,1,0.2,0
175,-122.2261,37.7551,201.8949011,0.23302,EI,0.26,2,1,1,0.2,0
176,-122.2783,37.7764,307.6,14.411548,EI,0.26,2,1,1,0.2,0
