Station,Longitude,Latitude,Vs30
0,-122.3283,37.784,760
1,-122.3283,37.7885,760
2,-122.3283,37.793,760
3,-122.3226,37.784,760
4,-122.3226,37.7885,760
5,-122.3226,37.793,760
6,-122.3169,37.7795,760
7,-122.3169,37.784,760
8,-122.3169,37.7885,760
9,-122.3169,37.793,760
10,-122.3112,37.7795,760
11,-122.3112,37.784,760
12,-122.3112,37.7885,760
13,-122.3055,37.784,760
14,-122.3055,37.7885,760
15,-122.2998,37.775,760
16,-122.2998,37.784,760
17,-122.2998,37.7885,760
18,-122.2941,37.775,760
19,-122.2941,37.7795,760
20,-122.2941,37.784,760
21,-122.2941,37.7885,760
22,-122.2885,37.7705,760
23,-122.2885,37.775,760
24,-122.2885,37.7795,760
25,-122.2885,37.784,760
26,-122.2885,37.7885,760
27,-122.2828,37.7705,760
28,-122.2828,37.775,760
29,-122.2828,37.7795,760
30,-122.2828,37.784,760
31,-122.2828,37.7885,760
32,-122.2771,37.7705,760
33,-122.2771,37.775,760
34,-122.2771,37.7795,760
35,-122.2771,37.784,760
36,-122.2771,37.7885,760
37,-122.2714,37.766,760
38,-122.2714,37.7705,760
39,-122.2714,37.775,760
40,-122.2714,37.7795,760
41,-122.2714,37.784,760
42,-122.2657,37.7615,760
43,-122.2657,37.766,760
44,-122.2657,37.7705,760
45,-122.2657,37.775,760
46,-122.2657,37.7795,760
47,-122.26,37.7615,760
48,-122.26,37.766,760
49,-122.26,37.7705,760
50,-122.26,37.775,760
51,-122.26,37.7795,760
52,-122.2543,37.757,760
53,-122.2543,37.7615,760
54,-122.2543,37.766,760
55,-122.2543,37.7705,760
56,-122.2543,37.775,760
57,-122.2486,37.757,760
58,-122.2486,37.7615,760
59,-122.2486,37.766,760
60,-122.2486,37.7705,760
61,-122.2486,37.775,760
62,-122.2429,37.7525,760
63,-122.2429,37.757,760
64,-122.2429,37.7615,760
65,-122.2429,37.766,760
66,-122.2429,37.7705,760
67,-122.2372,37.7525,760
68,-122.2372,37.757,760
69,-122.2372,37.7615,760
70,-122.2372,37.766,760
71,-122.2372,37.7705,760
72,-122.2315,37.7525,760
73,-122.2315,37.757,760
74,-122.2315,37.7615,760
75,-122.2315,37.766,760
76,-122.2258,37.757,760
77,-122.2258,37.7615,760
78,-122.3283,37.784,760
79,-122.3283,37.7885,760
80,-122.3283,37.793,760
81,-122.3226,37.784,760
82,-122.3226,37.7885,760
83,-122.3226,37.793,760
84,-122.3169,37.7795,760
85,-122.3169,37.784,760
86,-122.3169,37.7885,760
87,-122.3169,37.793,760
88,-122.3112,37.7795,760
89,-122.3112,37.784,760
90,-122.3112,37.7885,760
91,-122.3055,37.784,760
92,-122.3055,37.7885,760
93,-122.2998,37.775,760
94,-122.2998,37.784,760
95,-122.2998,37.7885,760
96,-122.2941,37.775,760
97,-122.2941,37.7795,760
98,-122.2941,37.784,760
99,-122.2941,37.7885,760
100,-122.2885,37.7705,760
101,-122.2885,37.775,760
102,-122.2885,37.7795,760
103,-122.2885,37.784,760
104,-122.2885,37.7885,760
105,-122.2828,37.7705,760
106,-122.2828,37.775,760
107,-122.2828,37.7795,760
108,-122.2828,37.784,760
109,-122.2828,37.7885,760
110,-122.2771,37.7705,760
111,-122.2771,37.775,760
112,-122.2771,37.7795,760
113,-122.2771,37.784,760
114,-122.2771,37.7885,760
115,-122.2714,37.766,760
116,-122.2714,37.7705,760
117,-122.2714,37.775,760
118,-122.2714,37.7795,760
119,-122.2714,37.784,760
120,-122.2657,37.7615,760
121,-122.2657,37.766,760
122,-122.2657,37.7705,760
123,-122.2657,37.775,760
124,-122.2657,37.7795,760
125,-122.26,37.7615,760
126,-122.26,37.766,760
127,-122.26,37.7705,760
128,-122.26,37.775,760
129,-122.26,37.7795,760
130,-122.2543,37.757,760
131,-122.2543,37.7615,760
132,-122.2543,37.766,760
133,-122.2543,37.7705,760
134,-122.2543,37.775,760
135,-122.2486,37.757,760
136,-122.2486,37.7615,760
137,-122.2486,37.766,760
138,-122.2486,37.7705,760
139,-122.2486,37.775,760
140,-122.2429,37.7525,760
141,-122.2429,37.757,760
142,-122.2429,37.7615,760
143,-122.2429,37.766,760
144,-122.2429,37.7705,760
145,-122.2372,37.7525,760
146,-122.2372,37.757,760
147,-122.2372,37.7615,760
148,-122.2372,37.766,760
149,-122.2372,37.7705,760
150,-122.2315,37.7525,760
151,-122.2315,37.757,760
152,-122.2315,37.7615,760
153,-122.2315,37.766,760
154,-122.2258,37.757,760
155,-122.2258,37.7615,760
156,-122.236,37.7507,760
157,-122.2779,37.7851,760
158,-122.2871,37.7852,760
159,-122.2873,37.7881,760
160,-122.2781,37.7894,760
161,-122.2777,37.787,760
162,-122.3126,37.7833,760
163,-122.3125,37.7825,760
164,-122.3124,37.7838,760
165,-122.324,37.7818,760
166,-122.3246,37.7895,760
167,-122.3254,37.7956,760
168,-122.2358,37.7593,760
169,-122.2373,37.7665,760
170,-122.2886,37.7747,760
171,-122.2649,37.7733,760
172,-122.2944,37.7724,760
173,-122.2706,37.7683,760
174,-122.2577,37.7607,760
175,-122.2261,37.7551,760
176,-122.2783,37.7764,760
