Building_ID,Longitude,Latitude,PlanArea,NumberOfStories,YearBuilt,Quality,OccupancyClass,StructureType
1,28.897,40.9825,5225.813722,1,1948,MODERATE,GOV1,C1
2,28.9024,40.9828,35931.54617,2,1967,MODERATE,IND3,C1
3,28.8914,40.983,7241.969412,3,1970,MODERATE,COM1,C1
4,28.8962,40.9831,19986.75101,1,1948,MODERATE,COM1,C1
5,28.8952,40.9831,6549.096525,2,1968,MODERATE,COM2,C1
6,28.8998,40.9831,22976.31937,1,1970,MODERATE,IND1,C1
7,28.9007,40.9836,550.9055249,1,1958,MODERATE,IND1,C1
8,28.8938,40.9837,550.3748642,6,1971,MODERATE,IND3,C1
9,28.8939,40.9838,1200.983258,5,1960,MODERATE,COM2,C1
10,28.894,40.9838,1457.045913,5,1916,POOR,COM3,C1
11,28.8941,40.9838,1889.442942,7,1949,MODERATE,COM2,C1
12,28.8942,40.9838,1927.138155,7,1970,MODERATE,COM3,C1
13,28.8943,40.9838,1882.263414,7,1964,MODERATE,COM3,C1
14,28.8944,40.9838,2756.852629,7,1947,MODERATE,COM1,C1
15,28.8947,40.9838,1165.882148,7,1951,MODERATE,COM3,C1
16,28.8948,40.9838,673.8595161,7,1949,MODERATE,COM1,C1
17,28.8949,40.9838,2259.226306,6,1958,MODERATE,COM2,C1
18,28.8949,40.9838,766.5604618,6,1965,MODERATE,COM2,C1
19,28.8966,40.9838,813.4781927,5,1959,MODERATE,COM3,C1
20,28.8966,40.9838,788.0333858,6,1958,MODERATE,COM3,C1
21,28.8969,40.9838,1444.215333,7,1954,MODERATE,COM1,C1
22,28.897,40.9838,1388.770432,7,1948,MODERATE,COM3,C1
23,28.8959,40.9838,802.6873729,7,2000,GOOD,COM3,C1
24,28.8956,40.9838,1751.944756,4,1963,MODERATE,COM2,C1
25,28.8955,40.9838,1207.915216,7,1968,MODERATE,COM3,C1
26,28.8954,40.9838,1212.554462,7,1947,MODERATE,COM3,C1
27,28.8953,40.9838,1321.894259,7,1978,GOOD,COM1,C1
28,28.8952,40.9838,1779.34967,7,2011,GOOD,COM1,C1
29,28.8958,40.9838,1280.571609,6,2009,GOOD,COM1,C1
30,28.8992,40.9839,2068.016209,6,1955,MODERATE,COM1,C1
31,28.8991,40.9839,2425.012048,7,1952,MODERATE,COM3,C1
32,28.8989,40.9839,1564.545082,6,1955,MODERATE,COM1,C1
33,28.8984,40.9839,1059.148293,5,1949,MODERATE,COM3,C1
34,28.8985,40.9839,1947.761806,6,1970,MODERATE,COM2,C1
35,28.8986,40.9839,1075.510512,6,1943,MODERATE,COM1,C1
36,28.8987,40.9839,2141.221561,6,1941,MODERATE,COM2,C1
37,28.8995,40.9839,871.5258065,6,1959,MODERATE,RES3,C1
38,28.8997,40.9839,1006.735586,4,1934,POOR,COM3,C1
