,agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
14125,14125,580,84,7,5,MANDATORY,5675855
9466,9466,801,2059,7,4,MANDATORY,5484471
20332,20332,872,2354,7,3,MANDATORY,3705526
16642,16642,2012,2354,8,1,MANDATORY,4066772
15721,15721,1108,2354,7,4,MANDATORY,1770910
13794,13794,973,84,8,5,MANDATORY,5773901
90,90,2355,1878,7,1,MANDATORY,4724691
24586,24586,689,1118,8,2,MANDATORY,4067469
9323,9323,2150,1702,7,2,MANDATORY,7004903
24050,24050,1096,753,8,0,MANDATORY,7804961
6535,6535,1884,120,8,1,MANDATORY,1047696
15177,15177,1940,64,8,0,MANDATORY,5261586
19344,19344,264,2084,8,3,MANDATORY,2937236
525,525,2355,1662,7,1,MANDATORY,5074612
17273,17273,671,2354,8,1,MANDATORY,7322847
15513,15513,1502,1271,7,2,MANDATORY,5261582
24943,24943,2437,2354,8,3,MANDATORY,461595
18869,18869,1929,2354,7,0,MANDATORY,3983469
28771,28771,1092,84,8,5,MANDATORY,7049844
4522,4522,1884,2003,8,2,MANDATORY,3560023
9470,9470,30,2059,8,3,MANDATORY,3704210
22435,22435,1812,2354,7,0,MANDATORY,4839386
15497,15497,2561,84,7,1,MANDATORY,5933564
5504,5504,1884,120,8,1,MANDATORY,1812445
12965,12965,995,1437,8,0,MANDATORY,669395
17671,17671,817,2354,7,0,MANDATORY,5676087
26385,26385,2355,1197,8,2,MANDATORY,3753368
7881,7881,2614,2431,7,3,MANDATORY,158373
20042,20042,2377,2354,8,1,MANDATORY,4350078
20684,20684,948,756,8,1,MANDATORY,569223
698,698,2424,1176,8,4,MANDATORY,7222247
24424,24424,725,2354,7,1,MANDATORY,4939232
2734,2734,2424,1982,7,4,MANDATORY,360426
24937,24937,2519,2354,8,3,MANDATORY,462023
16466,16466,1415,2354,7,4,MANDATORY,5676083
15649,15649,111,1542,7,2,MANDATORY,442658
6630,6630,1053,84,8,5,MANDATORY,1690072
19164,19164,1927,2354,8,5,MANDATORY,4763010
13073,13073,1902,1621,8,0,MANDATORY,6642696
28325,28325,2173,985,7,0,MANDATORY,5682968
26935,26935,2355,637,8,1,MANDATORY,2223391
9802,9802,402,1542,8,2,MANDATORY,4938934
14094,14094,862,84,7,4,MANDATORY,5675713
355,355,2355,2490,7,5,MANDATORY,6274090
8427,8427,1914,1565,7,2,MANDATORY,4614199
16559,16559,875,2354,7,3,MANDATORY,3747740
25342,25342,1296,233,7,3,MANDATORY,2990084
19347,19347,783,2354,8,5,MANDATORY,2937238
17869,17869,1456,2354,7,5,MANDATORY,3563691
17281,17281,1754,1282,7,2,MANDATORY,6744116
13241,13241,845,1111,8,2,MANDATORY,3308341
3099,3099,1241,2354,7,4,MANDATORY,586273
17525,17525,637,2354,7,4,MANDATORY,4427010
26634,26634,2355,2306,8,2,MANDATORY,5677247
15887,15887,885,1923,7,3,MANDATORY,1770907
20767,20767,1166,2354,8,2,MANDATORY,7176591
14613,14613,2339,84,7,1,MANDATORY,248114
14600,14600,2491,2217,8,5,MANDATORY,587823
