GP_file,Longitude,Latitude
10001.csv,-74.5208,39.3356
10002.csv,-74.5208,39.3367
10003.csv,-74.5208,39.3379
10004.csv,-74.5208,39.339
10005.csv,-74.5208,39.3401
10006.csv,-74.5208,39.3413
10007.csv,-74.5208,39.3424
10008.csv,-74.5208,39.3435
10009.csv,-74.5208,39.3447
10010.csv,-74.5208,39.3458
10011.csv,-74.5208,39.3469
10012.csv,-74.5208,39.3481
10013.csv,-74.5208,39.3492
10014.csv,-74.5208,39.3503
10015.csv,-74.5208,39.3515
10016.csv,-74.5208,39.3526
10017.csv,-74.5208,39.3537
10018.csv,-74.5208,39.3549
10019.csv,-74.5208,39.356
10020.csv,-74.5208,39.3571
10021.csv,-74.5208,39.3583
10022.csv,-74.5208,39.3594
10023.csv,-74.5208,39.3605
10024.csv,-74.5208,39.3617
10025.csv,-74.5208,39.3628
10026.csv,-74.5208,39.3639
10027.csv,-74.5208,39.365
10028.csv,-74.5208,39.3662
10029.csv,-74.5208,39.3673
10030.csv,-74.5208,39.3684
10031.csv,-74.5208,39.3696
10032.csv,-74.5208,39.3707
10033.csv,-74.5208,39.3718
10034.csv,-74.5208,39.373
10035.csv,-74.5208,39.3741
10036.csv,-74.5208,39.3752
10037.csv,-74.5208,39.3764
10038.csv,-74.5208,39.3775
10039.csv,-74.5208,39.3786
10040.csv,-74.5208,39.3798
10041.csv,-74.5208,39.3809
10042.csv,-74.5208,39.382
10043.csv,-74.5208,39.3832
10044.csv,-74.5208,39.3843
10045.csv,-74.5208,39.3854
10046.csv,-74.5208,39.3866
10047.csv,-74.5208,39.3877
10048.csv,-74.5208,39.3888
10049.csv,-74.5208,39.39
10050.csv,-74.5208,39.3911
10051.csv,-74.5179,39.3356
10052.csv,-74.5179,39.3367
10053.csv,-74.5179,39.3379
10054.csv,-74.5179,39.339
10055.csv,-74.5179,39.3401
10056.csv,-74.5179,39.3413
10057.csv,-74.5179,39.3424
10058.csv,-74.5179,39.3435
10059.csv,-74.5179,39.3447
10060.csv,-74.5179,39.3458
10061.csv,-74.5179,39.3469
10062.csv,-74.5179,39.3481
10063.csv,-74.5179,39.3492
10064.csv,-74.5179,39.3503
10065.csv,-74.5179,39.3515
10066.csv,-74.5179,39.3526
10067.csv,-74.5179,39.3537
10068.csv,-74.5179,39.3549
10069.csv,-74.5179,39.356
10070.csv,-74.5179,39.3571
10071.csv,-74.5179,39.3583
10072.csv,-74.5179,39.3594
10073.csv,-74.5179,39.3605
10074.csv,-74.5179,39.3617
10075.csv,-74.5179,39.3628
10076.csv,-74.5179,39.3639
10077.csv,-74.5179,39.365
10078.csv,-74.5179,39.3662
