,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberOfStories,NoUnits,PlanArea0,PlanArea,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0,structureType,replacementCost,Footprint
1,NJBF000081138,14 W LEE AVE,Absecon,NJ,39.41770296,-74.50360821,RES1,3001,,17,NE,1956,1956,3101,2,1,1310.670302,1310.670302,3505,NO,19.64,33.89,3,-2.97,6112,112.44902,122.279935,131.916872,138.112949,I,Above,Gable,0,5701,Wood,26.76835396,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.503572,39.417656],[-74.503550,39.417744],[-74.503703,39.417767],[-74.503724,39.417679],[-74.503572,39.417656]]]},""properties"":{}}"
2,NJBF000080830,28 W SUMMIT AVE,Absecon,NJ,39.41651021,-74.5040753,RES1,3001,,17,NE,1948,1948,3101,2,1,1061.415481,1061.415481,3505,NO,33.52,47.46,3,6.72,6112,112.447756,122.28405,131.921695,138.122775,I,Above,Gable,0,5701,Wood,40.49340431,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.504023,39.416556],[-74.504060,39.416559],[-74.504055,39.416590],[-74.504150,39.416599],[-74.504160,39.416538],[-74.504189,39.416541],[-74.504196,39.416496],[-74.504035,39.416480],[-74.504023,39.416556]]]},""properties"":{}}"
3,NJBF000081726,4 HILLSIDE CIRCLE,Absecon,NJ,39.42232874,-74.49154804,RES1,3001,,17,NE,1978,1978,3101,2,1,1727.399399,1727.399399,3505,NO,27.37,37.5,3,1.88,6112,112.669126,122.445524,132.096741,138.271623,I,Above,Gable,0,5701,Wood,32.43443761,0,1.1,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.491477,39.422386],[-74.491575,39.422422],[-74.491659,39.422287],[-74.491561,39.422251],[-74.491477,39.422386]]]},""properties"":{}}"
4,NJBF000081784,408 CYNWYD DR,Absecon,NJ,39.42289105,-74.48782533,RES1,3001,,17,NE,1963,1963,3101,2,1,2345.871242,2345.871242,3505,NO,39.5,45.25,3,1.35,6112,112.742973,122.505974,132.162836,138.333671,I,Above,Hip,0,5701,Wood,42.37471008,0,1.1,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.487915,39.422904],[-74.487902,39.422901],[-74.487937,39.422822],[-74.487838,39.422796],[-74.487745,39.423002],[-74.487858,39.423032],[-74.487915,39.422904]]]},""properties"":{}}"
5,NJBF000081765,406 REED RD,Absecon,NJ,39.42270399,-74.48922599,RES1,3001,,17,NE,1965,1965,3101,1,1,1859.506221,1859.506221,3505,NO,21.53,34.6,3,4.76,6112,112.715016,122.482951,132.137651,138.309973,I,Above,Gable,0,5701,Wood,28.06200438,0,1.1,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.489336,39.422641],[-74.489224,39.422596],[-74.489116,39.422758],[-74.489228,39.422803],[-74.489336,39.422641]]]},""properties"":{}}"
6,NJBF000081956,13 E CHURCH ST,Absecon,NJ,39.42484213,-74.49760731,RES1,3001,,17,NE,1955,1955,3102,1,1,3223.52417,3223.52417,3505,NO,19.05,25.37,3,6.97,6112,112.524387,122.311912,131.950342,138.116246,I,Above,Gable,0,5701,Wood,22.21077021,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.497585,39.424772],[-74.497498,39.424959],[-74.497566,39.424978],[-74.497571,39.424967],[-74.497606,39.424977],[-74.497733,39.424701],[-74.497665,39.424682],[-74.497619,39.424781],[-74.497585,39.424772]]]},""properties"":{}}"
7,NJBF000082328,126 E FAUNCE LANDING RD,Absecon,NJ,39.42901937,-74.49204439,RES1,3001,,17,NE,1975,1975,3102,1,1,1721.855529,1721.855529,3505,NO,13.32,23.1,3,-2.15,6112,112.610815,122.367022,132.010321,138.157707,I,Above,Gable,0,5701,Wood,18.20772619,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.491997,39.429031],[-74.492121,39.429061],[-74.492157,39.428973],[-74.492032,39.428943],[-74.491997,39.429031]]]},""properties"":{}}"
8,NJBF000080280,37 OREGON AVE,Absecon,NJ,39.41455353,-74.50528005,RES1,3001,,17,NE,1962,1962,3101,1,1,2169.394935,2169.394935,3505,NO,11.28,24.08,3,-1.95,6106,112.436462,122.283046,131.921228,138.130426,I,Above,Gable,0,5701,Wood,17.68153312,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.505297,39.414470],[-74.505268,39.414542],[-74.505205,39.414526],[-74.505170,39.414613],[-74.505316,39.414649],[-74.505380,39.414490],[-74.505297,39.414470]]]},""properties"":{}}"
9,NJBF000081853,260 MARLIN ROAD,Absecon,NJ,39.42377254,-74.50603219,RES1,3001,,17,NE,1956,1956,3102,2,1,760.9642863,760.9642863,3505,NO,31.44,44.2,3,5.32,6106,112.355989,122.174452,131.800354,137.970274,I,Above,Gable,0,5701,Wood,37.81844169,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.506041,39.423727],[-74.506190,39.423760],[-74.506196,39.423743],[-74.506261,39.423757],[-74.506286,39.423689],[-74.506232,39.423677],[-74.506248,39.423636],[-74.506137,39.423611],[-74.506126,39.423642],[-74.506076,39.423631],[-74.506041,39.423727]]]},""properties"":{}}"
10,NJBF000081974,229 MARLIN RD,Absecon,NJ,39.42497064,-74.50597855,RES1,3001,,17,NE,1920,1920,3102,1,1,1271.280647,1271.280647,3505,NO,13.88,24.39,3,-0.6,6112,112.349101,122.163,131.787602,137.95243,I,Above,Gable,0,5701,Wood,19.13581111,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.505882,39.424982],[-74.506056,39.425032],[-74.506089,39.424963],[-74.505915,39.424913],[-74.505882,39.424982]]]},""properties"":{}}"
11,NJBF000082543,11 CORDOVA DRIVE,Absecon,NJ,39.4307465,-74.490058,RES1,3001,,17,NE,1968,1968,3102,1,1,1132.619937,1132.619937,3507,NO,17.02,22.21,1,2.6,6112,112.639839,122.384282,132.02919,138.168835,I,Above,Gable,0,5701,Wood,19.61551843,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.490142,39.430781],[-74.490058,39.430686],[-74.489981,39.430726],[-74.490065,39.430822],[-74.490142,39.430781]]]},""properties"":{}}"
12,NJBF000082402,309 SPRUCE STREET,Absecon,NJ,39.42961599,-74.49783499,RES1,3001,,17,NE,1957,1957,3102,2,1,807.3432597,807.3432597,3505,NO,31.99,46.9,3,7.84,6110,112.486935,122.258288,131.891213,138.037093,I,Above,Gable,0,5701,Wood,39.44318088,0,1.1,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.497895,39.429598],[-74.497804,39.429586],[-74.497788,39.429657],[-74.497879,39.429669],[-74.497895,39.429598]]]},""properties"":{}}"
13,NJBF000082126,8 BERKLEY AVE,Absecon,NJ,39.4267832,-74.49606204,RES1,3001,,17,NE,1955,1955,3102,1,1,1362.810166,1362.810166,3505,NO,23.71,35.15,3,7.61,6106,112.543027,122.31908,131.957974,138.115545,I,Above,Gable,0,5701,Wood,29.43127418,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.496014,39.426729],[-74.495983,39.426826],[-74.496069,39.426843],[-74.496076,39.426821],[-74.496144,39.426834],[-74.496169,39.426758],[-74.496014,39.426729]]]},""properties"":{}}"
14,NJBF000082112,59 NATALIE TERRACE,Absecon,NJ,39.42662161,-74.49440905,RES1,3001,,17,NE,1955,1955,3102,1,1,2438.147817,2438.147817,3505,NO,22.27,29.48,3,4.56,6110,112.578514,122.350034,131.991863,138.149796,I,Above,Gable,0,5701,Wood,25.87388851,0,1.1,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.494283,39.426641],[-74.494446,39.426697],[-74.494488,39.426623],[-74.494326,39.426567],[-74.494283,39.426641]]]},""properties"":{}}"
15,NJBF000081605,104 PARK CIRCLE,Absecon,NJ,39.42077698,-74.49412412,RES1,3001,,17,NE,1965,1965,3101,1,1,1894.188352,1894.188352,3505,NO,26.53,35.39,3,8.38,6112,112.626482,122.415899,132.064544,138.246757,I,Above,Gable,0,5701,Wood,30.96183874,0,1.1,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.494158,39.420826],[-74.494240,39.420833],[-74.494253,39.420749],[-74.494092,39.420735],[-74.494081,39.420813],[-74.494109,39.420815],[-74.494104,39.420848],[-74.494155,39.420852],[-74.494158,39.420826]]]},""properties"":{}}"
16,NJBF000082569,605 HAY ROAD,Absecon,NJ,39.43107487,-74.48208875,RES1,3001,,17,NE,1984,1984,3102,2,1,1888.502533,1888.502533,3507,NO,22.65,30.43,1,1.5,6110,112.802108,122.522907,132.181217,138.315491,I,Above,Gable,0,5701,Wood,26.54334711,0,1.1,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.482231,39.431055],[-74.482087,39.431020],[-74.482080,39.431037],[-74.482031,39.431025],[-74.481992,39.431122],[-74.482066,39.431139],[-74.482075,39.431117],[-74.482195,39.431145],[-74.482231,39.431055]]]},""properties"":{}}"
17,NJBF000081681,402 BURNING TREE BLVD,Absecon,NJ,39.42177856,-74.48723636,RES1,3001,,18,NE,1989,1989,3101,2,1,2559.926183,2559.926183,3505,NO,27.17,32.26,3,0.89,6106,112.763677,122.528083,132.187115,138.362178,I,Above,Gable,0,5701,Wood,29.71661642,0,1.1,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.487261,39.421994],[-74.487120,39.421950],[-74.487041,39.422102],[-74.487243,39.422165],[-74.487278,39.422099],[-74.487217,39.422080],[-74.487261,39.421994]]]},""properties"":{}}"
