id,Latitude,Longitude,BuildingType,StructureType,NumberOfStories,Height,PlanArea,RoofShape,RoofQuality,RoofSystem,RoofCover,SecondaryWaterResistance,RoofDeckAttachment,RoofToWallConnection,NumberOfUnits,JoistSpacing,Garage,Shutters,WindowArea,TieDowns,MasonryReinforcing,WindDebrisClass,LandCover,OccupancyClass,DesignLevel,FoundationType,NoUnits,FloodZone,FirstFloorHt1,SplitLevel,City,YearBuiltNJDEP,YearBuiltMODIV,Footprint
1,39.41770296,-74.50360821,Wood,Single Family Housing,2,26.76835396,1310.670302,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Suburban,RES1,NE,3505,1,X,-2.97,FALSE,Absecon,1956,1956,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.503572,39.417656],[-74.503550,39.417744],[-74.503703,39.417767],[-74.503724,39.417679],[-74.503572,39.417656]]]},""properties"":{}}"
2,39.41651021,-74.5040753,Wood,Single Family Housing,2,40.49340431,1061.415481,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Suburban,RES1,NE,3505,1,X,6.72,FALSE,Absecon,1948,1948,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.504023,39.416556],[-74.504060,39.416559],[-74.504055,39.416590],[-74.504150,39.416599],[-74.504160,39.416538],[-74.504189,39.416541],[-74.504196,39.416496],[-74.504035,39.416480],[-74.504023,39.416556]]]},""properties"":{}}"
3,39.42232874,-74.49154804,Wood,Single Family Housing,2,32.43443761,1727.399399,Gable,,Truss,,0,8d,Toe-nail,,,Weak,0,,,,,Suburban,RES1,NE,3505,1,X,1.88,FALSE,Absecon,1978,1978,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.491477,39.422386],[-74.491575,39.422422],[-74.491659,39.422287],[-74.491561,39.422251],[-74.491477,39.422386]]]},""properties"":{}}"
4,39.42289105,-74.48782533,Wood,Single Family Housing,2,42.37471008,2345.871242,Hip,,Truss,,0,8d,Toe-nail,,,Weak,0,,,,,Suburban,RES1,NE,3505,1,X,1.35,FALSE,Absecon,1963,1963,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.487915,39.422904],[-74.487902,39.422901],[-74.487937,39.422822],[-74.487838,39.422796],[-74.487745,39.423002],[-74.487858,39.423032],[-74.487915,39.422904]]]},""properties"":{}}"
5,39.42270399,-74.48922599,Wood,Single Family Housing,1,28.06200438,1859.506221,Gable,,Truss,,0,8d,Toe-nail,,,Weak,0,,,,,Suburban,RES1,NE,3505,1,X,4.76,FALSE,Absecon,1965,1965,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.489336,39.422641],[-74.489224,39.422596],[-74.489116,39.422758],[-74.489228,39.422803],[-74.489336,39.422641]]]},""properties"":{}}"
6,39.42484213,-74.49760731,Wood,Single Family Housing,1,22.21077021,3223.52417,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Suburban,RES1,NE,3505,1,X,6.97,FALSE,Absecon,1955,1955,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.497585,39.424772],[-74.497498,39.424959],[-74.497566,39.424978],[-74.497571,39.424967],[-74.497606,39.424977],[-74.497733,39.424701],[-74.497665,39.424682],[-74.497619,39.424781],[-74.497585,39.424772]]]},""properties"":{}}"
7,39.42901937,-74.49204439,Wood,Single Family Housing,1,18.20772619,1721.855529,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Suburban,RES1,NE,3505,1,X,-2.15,FALSE,Absecon,1975,1975,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.491997,39.429031],[-74.492121,39.429061],[-74.492157,39.428973],[-74.492032,39.428943],[-74.491997,39.429031]]]},""properties"":{}}"
8,39.41455353,-74.50528005,Wood,Single Family Housing,1,17.68153312,2169.394935,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Open,RES1,NE,3505,1,AE,-1.95,FALSE,Absecon,1962,1962,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.505297,39.414470],[-74.505268,39.414542],[-74.505205,39.414526],[-74.505170,39.414613],[-74.505316,39.414649],[-74.505380,39.414490],[-74.505297,39.414470]]]},""properties"":{}}"
9,39.42377254,-74.50603219,Wood,Single Family Housing,2,37.81844169,760.9642863,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Open,RES1,NE,3505,1,AE,5.32,FALSE,Absecon,1956,1956,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.506041,39.423727],[-74.506190,39.423760],[-74.506196,39.423743],[-74.506261,39.423757],[-74.506286,39.423689],[-74.506232,39.423677],[-74.506248,39.423636],[-74.506137,39.423611],[-74.506126,39.423642],[-74.506076,39.423631],[-74.506041,39.423727]]]},""properties"":{}}"
10,39.42497064,-74.50597855,Wood,Single Family Housing,1,19.13581111,1271.280647,Gable,,Truss,,0,8d,Toe-nail,,,No,1,,,,,Suburban,RES1,NE,3505,1,X,-0.6,FALSE,Absecon,1920,1920,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.505882,39.424982],[-74.506056,39.425032],[-74.506089,39.424963],[-74.505915,39.424913],[-74.505882,39.424982]]]},""properties"":{}}"
11,39.4307465,-74.490058,Wood,Single Family Housing,1,19.61551843,1132.619937,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Suburban,RES1,NE,3507,1,X,2.6,FALSE,Absecon,1968,1968,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.490142,39.430781],[-74.490058,39.430686],[-74.489981,39.430726],[-74.490065,39.430822],[-74.490142,39.430781]]]},""properties"":{}}"
12,39.42961599,-74.49783499,Wood,Single Family Housing,2,39.44318088,807.3432597,Gable,,Truss,,0,8d,Toe-nail,,,Weak,0,,,,,Suburban,RES1,NE,3505,1,X,7.84,FALSE,Absecon,1957,1957,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.497895,39.429598],[-74.497804,39.429586],[-74.497788,39.429657],[-74.497879,39.429669],[-74.497895,39.429598]]]},""properties"":{}}"
13,39.4267832,-74.49606204,Wood,Single Family Housing,1,29.43127418,1362.810166,Gable,,Truss,,0,8d,Toe-nail,,,No,1,,,,,Open,RES1,NE,3505,1,AE,7.61,FALSE,Absecon,1955,1955,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.496014,39.426729],[-74.495983,39.426826],[-74.496069,39.426843],[-74.496076,39.426821],[-74.496144,39.426834],[-74.496169,39.426758],[-74.496014,39.426729]]]},""properties"":{}}"
