BldgID,Latitude,Longitude,BuildingType,StructureType,NumberOfStories,Height,PlanArea,RoofShape,RoofQuality,RoofSystem,RoofCover,SecondaryWaterResistance,RoofDeckAttachment,RoofToWallConnection,NumberOfUnits,JoistSpacing,Garage,Shutters,WindowArea,TieDowns,MasonryReinforcing,WindDebrisClass,LandCover,OccupancyClass,Footprint,Wind_Config
1,30.2696026,-93.18640624,Wood,Multi-Unit Housing,1,15.0,744.6,Hip,,Truss,,0.0,8d,Toe-nail,,,,0.0,,,,,Light Trees,RES3A,"{""geometry"": {""coordinates"": [[[-93.186341, 30.269573], [-93.18626, 30.269613], [-93.186367, 30.26977], [-93.186542, 30.269681], [-93.186471, 30.269576], [-93.186496, 30.269444], [-93.186369, 30.269425], [-93.186341, 30.269573]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.MUH.1.hip.null.null.0.8d.tnail.0.70
2,30.2600155,-93.188197,Wood,Single Family Housing,1,12.97,250.2,Gable,,Truss,,0.0,8d,Toe-nail,,,No,1.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.188117, 30.259961], [-93.188117, 30.26007], [-93.188277, 30.26007], [-93.188277, 30.259961], [-93.188117, 30.259961]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.gab.0.8d.tnail.no.1.35
3,30.260485,-93.1875115,Wood,Single Family Housing,1,16.28,170.4,Gable,,Truss,,0.0,8d,Toe-nail,,,No,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.187462, 30.260425], [-93.187462, 30.260545], [-93.187561, 30.260545], [-93.187561, 30.260425], [-93.187462, 30.260425]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.gab.0.8d.tnail.no.0.35
4,30.2601355,-93.182886,Wood,Single Family Housing,2,34.58,141.9,Gable,,Truss,,0.0,8d,Toe-nail,,,Weak,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.182835, 30.260184], [-93.182937, 30.260184], [-93.182937, 30.260087], [-93.182835, 30.260087], [-93.182835, 30.260184]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.2.gab.0.8d.tnail.wkd.0.35
5,30.2644015,-93.182324,Wood,Single Family Housing,1,14.22,269.8,Gable,,Truss,,0.0,8d,Toe-nail,,,Weak,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.182245, 30.264461], [-93.182403, 30.264461], [-93.182403, 30.264342], [-93.182245, 30.264342], [-93.182245, 30.264461]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.gab.0.8d.tnail.wkd.0.35
6,30.26638,-93.1756955,Wood,Single Family Housing,1,16.06,159.7,Gable,,Truss,,0.0,8d,Toe-nail,,,Weak,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.175642, 30.266328], [-93.175642, 30.266432], [-93.175749, 30.266432], [-93.175749, 30.266328], [-93.175642, 30.266328]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.gab.0.8d.tnail.wkd.0.35
7,30.2240395,-93.2124775,Wood,Single Family Housing,1,16.18,256.6,Hip,,Truss,,0.0,8d,Toe-nail,,,No,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.212433, 30.223939], [-93.212433, 30.22414], [-93.212522, 30.22414], [-93.212522, 30.223939], [-93.212433, 30.223939]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.tnail.no.0.35
8,30.224935,-93.2100785,Wood,Single Family Housing,2,22.68,142.6,Hip,,Truss,,0.0,8d,Toe-nail,,,No,1.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.210022, 30.224891], [-93.210022, 30.224979], [-93.210135, 30.224979], [-93.210135, 30.224891], [-93.210022, 30.224891]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.2.hip.0.8d.tnail.no.1.35
9,30.22946231,-93.20923187,Wood,Single Family Housing,2,28.98,290.2,Hip,,Truss,,0.0,8d,Toe-nail,,,No,1.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.209201, 30.229397], [-93.209174, 30.229396], [-93.20917, 30.229546], [-93.20929, 30.229549], [-93.209295, 30.229399], [-93.209255, 30.229398], [-93.209256, 30.229358], [-93.209202, 30.229357], [-93.209201, 30.229397]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.2.hip.0.8d.tnail.no.1.35
10,30.230271,-93.2133255,Wood,Multi-Unit Housing,2,30.38,229.1,Gable,,Truss,,0.0,8d,Toe-nail,,,,1.0,,,,,Light Suburban,RES3A,"{""geometry"": {""coordinates"": [[[-93.213265, 30.230205], [-93.213265, 30.230337], [-93.213386, 30.230337], [-93.213386, 30.230205], [-93.213265, 30.230205]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.MUH.2.gab.null.null.0.8d.tnail.1.15
