GP_file,Longitude,Latitude
1001.csv,-92.84, 29.97
1002.csv,-92.85, 29.97
1003.csv,-92.86, 29.97
1004.csv,-92.87, 29.97
1005.csv,-92.88, 29.97
1006.csv,-92.89, 29.97
1007.csv,-92.90, 29.97
1008.csv,-92.91, 29.97
1009.csv,-92.92, 29.97
1010.csv,-92.93, 29.97
1011.csv,-92.94, 29.97
1012.csv,-92.95, 29.97
1013.csv,-93.16, 29.97
1014.csv,-93.17, 29.97
1015.csv,-93.18, 29.97
1016.csv,-93.19, 29.97
1017.csv,-93.20, 29.97
1018.csv,-93.21, 29.97
1019.csv,-93.22, 29.97
1020.csv,-93.23, 29.97
1021.csv,-93.24, 29.97
1022.csv,-93.25, 29.97
1023.csv,-93.26, 29.97
1024.csv,-93.27, 29.97
1025.csv,-93.36, 29.97
1026.csv,-93.37, 29.97
1027.csv,-93.38, 29.97
1028.csv,-93.39, 29.97
1029.csv,-93.40, 29.97
1030.csv,-93.41, 29.97
1031.csv,-93.42, 29.97
1032.csv,-93.43, 29.97
1033.csv,-93.44, 29.97
1034.csv,-93.45, 29.97
1035.csv,-93.66, 29.97
1036.csv,-93.67, 29.97
1037.csv,-93.68, 29.97
1038.csv,-93.69, 29.97
1039.csv,-93.70, 29.97
1040.csv,-93.71, 29.97
1041.csv,-93.72, 29.97
1042.csv,-93.73, 29.97
1043.csv,-93.74, 29.97
1044.csv,-93.75, 29.97
1045.csv,-93.76, 29.97
1046.csv,-92.84, 29.98
1047.csv,-92.85, 29.98
1048.csv,-92.86, 29.98
1049.csv,-92.87, 29.98
1050.csv,-92.88, 29.98
1051.csv,-92.89, 29.98
1052.csv,-92.90, 29.98
1053.csv,-92.91, 29.98
1054.csv,-92.92, 29.98
1055.csv,-92.93, 29.98
1056.csv,-92.94, 29.98
1057.csv,-92.95, 29.98
1058.csv,-93.16, 29.98
1059.csv,-93.17, 29.98
1060.csv,-93.18, 29.98
1061.csv,-93.19, 29.98
1062.csv,-93.20, 29.98
1063.csv,-93.21, 29.98
1064.csv,-93.22, 29.98
1065.csv,-93.23, 29.98
1066.csv,-93.24, 29.98
1067.csv,-93.25, 29.98
1068.csv,-93.26, 29.98
1069.csv,-93.27, 29.98
1070.csv,-93.35, 29.98
1071.csv,-93.36, 29.98
1072.csv,-93.37, 29.98
1073.csv,-93.38, 29.98
1074.csv,-93.39, 29.98
1075.csv,-93.40, 29.98
1076.csv,-93.41, 29.98
1077.csv,-93.42, 29.98
1078.csv,-93.43, 29.98
1079.csv,-93.44, 29.98
1080.csv,-93.45, 29.98
1081.csv,-93.66, 29.98
1082.csv,-93.67, 29.98
1083.csv,-93.68, 29.98
1084.csv,-93.69, 29.98
1085.csv,-93.70, 29.98
1086.csv,-93.71, 29.98
1087.csv,-93.72, 29.98
1088.csv,-93.73, 29.98
1089.csv,-93.74, 29.98
1090.csv,-93.75, 29.98
1091.csv,-93.76, 29.98
1092.csv,-93.77, 29.98
1093.csv,-93.78, 29.98
1094.csv,-92.84, 29.99
1095.csv,-92.85, 29.99
1096.csv,-92.86, 29.99
